'http://www.sciencedirect.com/science/article/pii/S0013468614005945', 'Electrochemical synthesis and capacitance properties of a novel poly (3, 4-ethylenedioxythiophene bis-substituted bithiophene) electrode material', 'Electrochimica Acta', '2014 ', 'Elsevier', '5' , 'D Mo', 'W Zhou', 'X Ma', 'J Xu', '<a href="/citations?user=jDD9tVQAAAAJ&hl=es&oi=sra">D Zhu</a>', 'B Lu'
'http://pubs.acs.org/doi/abs/10.1021/am500870f', 'Highly efficient and recyclable carbon soot sponge for oil cleanup', '  applied materials &  …', '2014 ', 'ACS Publications', '4' , 'Y Gao', '<a href="/citations?user=o8rvp6MAAAAJ&hl=es&oi=sra">YS Zhou</a>', '<a href="/citations?user=2nml8qcAAAAJ&hl=es&oi=sra">W Xiong</a>', '<a href="/citations?user=Vc9fAP0AAAAJ&hl=es&oi=sra">M Wang</a>', 'L Fan… '
'http://pubs.acs.org/doi/abs/10.1021/sc500118r', 'Activated Carbon-Coated Carbon Nanotubes for Energy Storage in Supercapacitors and Capacitive Water Purification', 'ACS Sustainable Chemistry &  …', '2014 ', 'ACS Publications', '6' , '<a href="/citations?user=ClfoqpsAAAAJ&hl=es&oi=sra">K Shi</a>', 'M Ren', 'I Zhitomirsky'
'http://www.whxb.pku.edu.cn/EN/10.3866/PKU.WHXB201405061', 'PHYSICAL CHEMISTRY OF MATERIALS', 'Acta Phys Chim Sin', '2014 ', 'whxb.pku.edu.cn', '1' , '<a href="/citations?user=rKAfDloAAAAJ&hl=es&oi=sra">X LI</a>', 'ZQ ZOU', 'XY LIU', 'W LI'
'http://www.whxb.pku.edu.cn/EN/10.3866/PKU.WHXB201303152', 'THEORETICAL AND COMPUTATIONAL CHEMISTRY', 'Acta Phys Chim Sin', '2013 ', 'whxb.pku.edu.cn', '3' , 'WZ YAO', 'JB YAO', '<a href="/citations?user=G5L71F0AAAAJ&hl=es&oi=sra">XB LI</a>', 'SD LI'
'http://www.whxb.pku.edu.cn/EN/10.3866/PKU.WHXB201202271', 'THERMODYNAMICS, KINETICS, AND STRUCTURAL CHEMISTRY', 'Acta Phys Chim  …', '2012 ', 'whxb.pku.edu.cn', '22' , '<a href="/citations?user=GNQHje8AAAAJ&hl=es&oi=sra">CC WANG</a>', 'JH SHEN', 'JL WU', 'Y GONG…'
'http://www.whxb.pku.edu.cn/EN/10.3866/PKU.WHXB20100537', 'QUANTUM CHEMISTRY AND COMPUTATION CHEMISTRY', 'Acta Phys Chim  …', '2010 ', 'whxb.pku.edu.cn', '8' , '<a href="/citations?user=DKOogxsAAAAJ&hl=es&oi=sra">L YU</a>', 'G ZHENG', 'KH HE', 'ZL ZENG', 'QL CHEN…'
'http://www.whxb.pku.edu.cn/EN/abstract/abstract25029.shtml', 'Density Functional Study on Silica Clusters (SiO~ 2)~ nO~ 2H~ 4', 'ACTA PHYSICOCHIMICA SINICA', '2006 ', 'whxb.pku.edu.cn', '4' , 'C Xu', 'L Zhu', 'C Gao', '<a href="/citations?user=42CijTAAAAAJ&hl=es&oi=sra">J Cao</a>'
'http://www.whxb.pku.edu.cn/EN/abstract/abstract26183.shtml', 'Study on the Purification of Onion-like Fullerenes', 'Acta Physico-Chimica  …', '2005 ', 'whxb.pku.edu.cn', '2' , 'HQ BAO', 'PD HAN', 'TB LI', 'HS JIA', 'XG LIU…'
'http://www.whxb.pku.edu.cn/EN/10.3866/PKU.WHXB20051105', 'The influences of the spacer of gemini surfactants on the structure of silicic mesoporous materials', 'ACTA PHYSICOCHIMICA …', '2005 ', 'whxb.pku.edu.cn', '12' , 'J Hu', 'LH Zhou', '<a href="/citations?user=y-NYC0sAAAAJ&hl=es&oi=sra">HN Li</a>', '<a href="/citations?user=DMYBAt4AAAAJ&hl=es&oi=sra">WX Li</a>', '<a href="/citations?user=Kwc55sIAAAAJ&hl=es&oi=sra">HL Liu</a>…'
'http://www.whxb.pku.edu.cn/EN/abstract/abstract25415.shtml', 'Theoretical study on fluorinated ethylene cations', 'ACTA PHYSICOCHIMICA SINICA', '2004 ', 'whxb.pku.edu.cn', '3' , 'WZ Li', 'MB Huang'
'http://www.whxb.pku.edu.cn/EN/abstract/abstract25495.shtml', 'Electrochemical deposition, characterization and the study of giant magnetoresistance of Cu/Co superlattice multilayer', 'ACTA PHYSICOCHIMICA  …', '2003 ', 'whxb.pku.edu.cn', '8' , 'SW Yao', 'J Zhao', '<a href="/citations?user=qZedaiAAAAAJ&hl=es&oi=sra">HZ Wang</a>…'
'http://www.whxb.pku.edu.cn/EN/abstract/abstract24411.shtml', 'Nanosized NaY zeolite synthesized rapidly by microwave induction', 'ACTA PHYSICOCHIMICA SINICA', '2003 ', 'whxb.pku.edu.cn', '9' , 'ZL Cheng', 'ZS Chao', 'HL Wan'
'http://www.whxb.pku.edu.cn/EN/10.3866/PKU.WHXB20010710', 'Structure and Potential Energy Function of PuX^+(X= O, H, N, C)', 'ACTA PHYSICOCHIMICA  …', '2001 ', 'whxb.pku.edu.cn', '3' , 'Q Li', 'HY Wang', 'G Jiang', 'ZH Zhu'
'http://www.whxb.pku.edu.cn/EN/10.3866/PKU.WHXB20010212', 'Structure and property of Ni-WB alloy electrodeposits before and after heat treatment', 'ACTA  …', '2001 ', 'whxb.pku.edu.cn', '1' , 'GM Cao', 'FZ Yang', '<a href="/citations?user=GilP2wYAAAAJ&hl=es&oi=sra">L Huang</a>', 'ZJ Niu…'
'http://www.freepatentsonline.com/y2001/0033898.html', 'Method for treating coating film', 'US Patent', '2001 ', 'freepatentsonline.com', 0 , 'T Yamane', 'H Kubota'
'http://www.whxb.pku.edu.cn/EN/abstract/abstract22884.shtml', 'Structure and Bonding Properties of Pyramidal B 5 H 10 X', 'Acta Phys Chim Sin', '2000 ', 'whxb.pku.edu.cn', 0 , 'HS Wu', 'XH Xu', 'CJ Zhang'
'http://www.whxb.pku.edu.cn/EN/abstract/abstract23047.shtml', 'Preparation and Crystallization of Nanosized Amorphous Nickel Sulfide by Using \\xce\\xb3-irradiation', 'Acta Phys Chim  …', '2000 ', 'whxb.pku.edu.cn', '4' , 'GZ Bian', '<a href="/citations?user=DP4CI2oAAAAJ&hl=es&oi=sra">YD Yin</a>', 'YL Fu', '<a href="/citations?user=REVw3uQAAAAJ&hl=es&oi=sra">ZH Wu</a>', 'TD Hu', 'T Liu'
'http://www.whxb.pku.edu.cn/EN/abstract/abstract23220.shtml', 'Structure and Forming Process of Catalyst SO 2-4/ZrO 2-SiO 2', 'Acta Phys Chim  …', '2000 ', 'whxb.pku.edu.cn', 0 , 'SJ Liao', '<a href="/citations?user=hRiPEJsAAAAJ&hl=es&oi=sra">LF Wang</a>', '<a href="/citations?user=OnUE188AAAAJ&hl=es&oi=sra">ZX Yang</a>', 'LY Liang…'
