'http://www.sciencedirect.com/science/article/pii/S0008622314009865', 'Large-scale synthesis of ordered mesoporous carbon fiber and its application as cathode material for lithium\\xe2\\x80\\x93sulfur batteries', 'Carbon', '2015 ', 'Elsevier', '1' , 'H Wang', 'C Zhang', 'Z Chen', 'HK Liu', '<a href="/citations?user=t7pJaWYAAAAJ&hl=es&oi=sra">Z Guo</a>'
'http://onlinelibrary.wiley.com/doi/10.1111/jace.13269/full', 'Detection of Different Interfaces in Percolated Networks of Antimony Tin Oxide: Borosilicate Glass Composites by Impedance Spectroscopy', 'Journal of the American Ceramic  …', '2015 ', 'Wiley Online Library', '1' , 'TL Pruyn', '<a href="/citations?user=J1WD2TwAAAAJ&hl=es&oi=sra">RA Gerhardt</a>'
'http://www.sciencedirect.com/science/article/pii/S0079670014000665', 'Electrical properties of polymer nanocomposites containing rod-like nanofillers', 'Progress in Polymer Science', '2015 ', 'Elsevier', '1' , 'RM Mutiso', 'KI Winey'
'http://www.scientific.net/AMR.1064.83', 'Effect of the Nature of the Layer of <b>Conductive Polymer </b>Composite on the Effectiveness of a Multi-Layer Electromagnetic Shielding', 'Advanced Materials Research', '2015 ', 'Trans Tech Publ', 0 , 'A Ansri', 'M Hamouni', 'S Khaldi'
'http://onlinelibrary.wiley.com/doi/10.1002/app.41644/full', 'A conductive foam: Based on novel poly (styrene\\xe2\\x80\\x90b\\xe2\\x80\\x90butadiene\\xe2\\x80\\x90co\\xe2\\x80\\x90styrene\\xe2\\x80\\x90b\\xe2\\x80\\x90styrene) tri\\xe2\\x80\\x90block copolymer filled by <b>carbon black</b>', 'Journal of Applied  …', '2015 ', 'Wiley Online Library', 0 , 'J Zhang', 'T Zhou', 'J Zhao', 'C Yuan', '<a href="/citations?user=SMKBj-UAAAAJ&hl=es&oi=sra">L Xia</a>…'
'http://www.sciencedirect.com/science/article/pii/S0272884214016137', 'Tailoring of the electrical properties of <b>carbon black</b>\\xe2\\x80\\x93silica coatings for de-icing applications', 'Ceramics  …', '2015 ', 'Elsevier', 0 , 'E Enr\\xc3\\xadquez', 'JF Fern\\xc3\\xa1ndez', 'J De Frutos…'
'http://onlinelibrary.wiley.com/doi/10.1002/aic.14646/full', 'Comparative study on electrical properties of copper nanowire/polypropylene and carbon nanotube/polypropylene composites', 'AIChE Journal', '2015 ', 'Wiley Online Library', 0 , 'Y Li', '<a href="/citations?user=smm3EggAAAAJ&hl=es&oi=sra">U Sundararaj</a>'
'http://www.sciencedirect.com/science/article/pii/S0925400514012635', 'Composition-dependent sensing mechanism of electrospun <b>conductive polymer </b>composite nanofibers', 'Sensors and Actuators B …', '2015 ', 'Elsevier', 0 , 'K Low', 'CB Horner', 'C Li', 'G Ico', 'W Bosze…'
'http://www.freepatentsonline.com/y2015/0004411.html', 'SEMI-<b>CONDUCTIVE POLYMER </b>COMPOSITION', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'MA Malik', 'C Svanberg', 'T Gkourmpis…'
'http://onlinelibrary.wiley.com/doi/10.1002/app.41832/full', 'Effects of substitution for <b>carbon black </b>with graphene oxide or graphene on the morphology and performance of natural rubber/<b>carbon black </b>composites', 'Journal of Applied  …', '2015 ', 'Wiley Online Library', 0 , '<a href="/citations?user=6XsIssYAAAAJ&hl=es&oi=sra">G Yang</a>', 'Z Liao', '<a href="/citations?user=VSTRI-wAAAAJ&hl=es&oi=sra">Z Yang</a>', 'Z Tang…'
'http://www.sciencedirect.com/science/article/pii/S0008622314008719', 'Preparation of conductive graphene/graphite infused fabrics using an interface trapping method', 'Carbon', '2015 ', 'Elsevier', 0 , '<a href="/citations?user=AjuPP38AAAAJ&hl=es&oi=sra">SJ Woltornist</a>', '<a href="/citations?user=FR66POoAAAAJ&hl=es&oi=sra">FA Alamer</a>', 'A McDannald', '<a href="/citations?user=xOuF3kcAAAAJ&hl=es&oi=sra">M Jain</a>…'
'http://onlinelibrary.wiley.com/doi/10.1002/adfm.201404247/full', 'Conductive \\xe2\\x80\\x9cSmart\\xe2\\x80\\x9d Hybrid Hydrogels with PNIPAM and Nanostructured Conductive Polymers', 'Advanced Functional Materials', '2015 ', 'Wiley Online Library', 0 , 'Y Shi', 'C Ma', 'L Peng', '<a href="/citations?user=HDvwMAcAAAAJ&hl=es&oi=sra">G Yu</a>'
'http://link.springer.com/chapter/10.1007/978-3-319-06611-0_4', 'Carbon-Based Piezoresistive Polymer Composites', 'Nanocomposites,  …', '2015 ', 'Springer', 0 , 'S Cravanzola', 'F Cesano', 'L Muscuso…'
