'http://link.springer.com/chapter/10.1007/978-3-662-45744-3_6', 'Fiber-Shaped Supercapacitor', 'Fiber-Shaped Energy Harvesting and Storage Devices', '2015 ', 'Springer', 0 , 'H Peng'
'http://onlinelibrary.wiley.com/doi/10.1002/adfm.201401501/full', 'Hierarchical Free\\xe2\\x80\\x90Standing Carbon\\xe2\\x80\\x90Nanotube Paper Electrodes with Ultrahigh Sulfur\\xe2\\x80\\x90Loading for Lithium\\xe2\\x80\\x93Sulfur Batteries', 'Advanced Functional …', '2014 ', 'Wiley Online Library', '3' , 'Z Yuan', '<a href="/citations?user=vr8W0MgAAAAJ&hl=es&oi=sra">HJ Peng</a>', '<a href="/citations?user=U52MsjoAAAAJ&hl=es&oi=sra">JQ Huang</a>', '<a href="/citations?user=tPJmDeIAAAAJ&hl=es&oi=sra">XY Liu</a>…'
'http://pubs.acs.org/doi/abs/10.1021/nn502065u', 'Stretchable and Semitransparent Conductive Hybrid Hydrogels for Flexible Supercapacitors', 'ACS  …', '2014 ', 'ACS Publications', '1' , 'GP Hao', 'F Hippauf', 'M Oschatz', 'FM Wisser', 'A Leifert…'
'http://link.springer.com/chapter/10.1007/978-4-431-54767-9_9', 'Carbon Nanotube/Ionic Liquid Composites', 'Soft Actuators', '2014 ', 'Springer', 0 , 'T Sugino', 'K Kiyohara', 'K Asaka'
'http://pubs.acs.org/doi/abs/10.1021/nn503394u', 'Nanocasting Hierarchical Carbide-Derived Carbons in Nano-structured Opal Assemblies for High Performance Cathodes in Lithium-Sulfur Batteries', 'ACS  …', '2014 ', 'ACS Publications', 0 , 'C Hoffmann', 'S Thieme', 'J Br\\xc3\\xbcckner', 'M Oschatz…'
'http://link.springer.com/article/10.1007/s10800-014-0688-9', 'Application of attapulgite/maltose system on mesoporous carbon material preparation for electrochemical capacitors', 'Springer', '0000', 'o, H Luo, K Du, F Zhang, Y Li - Journal of Applied Electrochemistry - Springer', '1' , 'X Zhao', 'H Luo', 'K Du', 'F Zhang', 'Y Li - Journal of Applied Electrochemistry'
'http://www.nature.com/srep/2014/141105/srep06913/full/srep06913.html?WT.ec_id=SREP-639-20141111', 'Ionic electroactive polymer artificial muscles in space applications', 'Scientific reports', '2014 ', 'nature.com', 0 , 'A Punning', '<a href="/citations?user=VX3wtWEAAAAJ&hl=es&oi=sra">KJ Kim</a>', '<a href="/citations?user=NurBO1oAAAAJ&hl=es&oi=sra">V Palmre</a>', 'F Vidal', 'C Plesse…'
'http://inderscience.metapress.com/index/A3800368H6J56K72.pdf', 'PEDOT\\xe2\\x80\\x93PSS/MWCNT coatings on PET for conducting polymer actuators', 'International Journal of …', '2014 ', 'Inderscience', 0 , 'PA Kilmartin', 'J Travas\\xe2\\x80\\x93Sejdic', '<a href="/citations?user=1OShGp8AAAAJ&hl=es&oi=sra">R Temmer</a>…'
'http://www.google.com/patents/US8647768', 'Positive active material composition and positive electrode for electrochemical device, and electrochemical device including the same', 'US Patent', '2014 ', 'Google Patents', 0 , 'K Sheem', 'M Lee', 'S Ishida', 'E Song'
'http://www.sciencedirect.com/science/article/pii/S0013468614002783', 'Cesium carborane as an unconventional non-aqueous electrolyte salt for electrochemical capacitors', 'Electrochimica Acta', '2014 ', 'Elsevier', '1' , 'A Lahe\\xc3\\xa4\\xc3\\xa4r', 'A J\\xc3\\xa4nes', 'E Lust'
'http://link.springer.com/chapter/10.1007/978-4-431-54767-9_10', 'Ion Gels for Ionic Polymer Actuators', 'Soft Actuators', '2014 ', 'Springer', 0 , '<a href="/citations?user=nKWbAtYAAAAJ&hl=es&oi=sra">M Watanabe</a>', 'S Imaizumi', 'T Yasuda', 'H Kokubo'
'http://jes.ecsdl.org/content/161/9/A1330.short', 'Ion Accumulation and Diffusion Behavior in Micro-/Meso-Pores of Carbon Nanofibers', 'Journal of The Electrochemical  …', '2014 ', 'jes.ecsdl.org', 0 , 'C Ma', '<a href="/citations?user=yVjZpTsAAAAJ&hl=es&oi=sra">Y Yu</a>', 'Y Li', 'J Shi', 'Y Song', 'L Liu'
'http://pubs.rsc.org/en/content/articlehtml/2014/ta/c4ta00567h', 'Flexible supercapacitors based on carbon nanomaterials', 'Journal of Materials Chemistry A', '2014 ', 'pubs.rsc.org', '2' , '<a href="/citations?user=8f42HwsAAAAJ&hl=es&oi=sra">T Chen</a>', 'L Dai'
'http://pubs.acs.org/doi/abs/10.1021/ie5013129', 'Micro/mesoporous activated carbons derived from polyaniline: promising candidates for CO2 adsorption', 'Industrial &  …', '2014 ', 'ACS Publications', 0 , '<a href="/citations?user=wNiMwcoAAAAJ&hl=es&oi=sra">A Silvestre-Albero</a>', '<a href="/citations?user=4MzX0tgAAAAJ&hl=es&oi=sra">J Silvestre-Albero</a>…'
'http://pubs.acs.org/doi/abs/10.1021/ja412943h', 'Durable Carbon-Coated Li2S Core\\xe2\\x80\\x93Shell Spheres for High Performance Lithium/Sulfur Cells', 'Journal of the American …', '2014 ', 'ACS Publications', '16' , 'C Nan', '<a href="/citations?user=9zccjn4AAAAJ&hl=es&oi=sra">Z Lin</a>', '<a href="/citations?user=_CqZsFkAAAAJ&hl=es&oi=sra">H Liao</a>', 'MK Song', 'Y Li…'
